CHAVE;EMPRESA;ANO;MES;DATA;CLIENTE;DOC;PRODUTO;QTD;PRECO;VALOR;DESC;CAIXA;FORMA;TIPO;VENDEDOR;GRUPO;SUBGRUPO
;T CASA 01 - Matriz;2025;8;28/08/2025;CICLUS AMAZONIA S.A.;12140;CAL SUPERCAL - 5KG;8010;12,99;104049,9;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;9;30/09/2025;CICLUS AMAZONIA S.A.;12748;CAL SUPERCAL - 5KG;7332;12,99;95242,68;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;7;21/07/2025;CICLUS AMAZONIA S.A.;11456;CAL SUPERCAL - 5KG;7572;11,85;89728,2;0,65;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;6;26/06/2025;CICLUS AMAZONIA S.A.;11046;CAL SUPERCAL - 5KG;6294;11,85;74583,9;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;5;31/05/2025;ECONOMICO LTDA;10540;CIMENTCOLA FLEXIVEL AC3 BRANCO 20KG - 00;693;96,95;67186,35;0;;A PRAZO;NFDAV;HC ALLAN;PISOS/REVESTIMENTOS;CIMENTO COLA
;T CASA 01 - Matriz;2025;4;24/04/2025;ENGEKO ENGENHARIA E;9778;ARGAMASSA BRANCA ACIII;1379;48,47;66840,13;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;ARGAMASSA
;T CASA 01 - Matriz;2025;5;29/05/2025;CICLUS AMAZONIA S.A.;10483;CAL SUPERCAL - 5KG;6228;10,2;63525,6;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;4;29/04/2025;CICLUS AMAZONIA S.A.;9852;CAL SUPERCAL - 5KG;6000;10,2;61200;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;CAL
;T CASA 01 - Matriz;2025;10;29/10/2025;TERRAPLENA;13352;TUBO ESGOTO 6M;200;249;49800;0;;A PRAZO;NFDAV;HC CARLOS SILVA;BASICO/HIDRAULICA;TUBO
;T CASA 01 - Matriz;2025;7;14/07/2025;CICLUS AMAZONIA S.A.;11324;TAMBOR PLASTICO VAZIO;100;492;49200;0;;A PRAZO;NFDAV;HC CARLOS SILVA;UD/JARD/PRES/DECOR;UD
;T CASA 01 - Matriz;2025;8;23/08/2025;PAULITEC CONSTRUCOES LTDA;12039;PISO TATIL ALERTA AZUL - 25X25;2090;22,3;46607;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;REVESTIMENTO
;T CASA 01 - Matriz;2025;9;10/09/2025;PAULITEC CONSTRUCOES LTDA;12347;PISO CIMENTICIO TATIL DIRECIONAL AMARELO;3498;13;45474;0;;A PRAZO;NFDAV;HC CARLOS SILVA;PISOS/REVESTIMENTOS;REVESTIMENTO
;T CASA 01 - Matriz;2025;8;28/08/2025;PAULITEC CONSTRUCOES LTDA;12144;FORMICA TX BCO;118;320,3;37795,4;0;;A PRAZO;NFDAV;HC CARLOS SILVA;DIVERSOS;CHAPA
;T CASA 01 - Matriz;2025;10;28/10/2025;CICLUS AMAZONIA S.A.;13338;VASSOURAO GARI 40CM;1500;24;36000;0;;A PRAZO;NFDAV;HC CARLOS SILVA;UD/JARD/PRES/DECOR;VASSOURA
;T CASA 01 - Matriz;2025;7;23/07/2025;ECONOMICO COMERCIO D;11496;DRYKOMANTA POLI ALUMINIO 3MM T2;45;785;35325;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;IMPERMEABILIZANTES
